
Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 6	Area Sample 6	#Peptides	#Unique	#Spec Sample 6	PTM	Avg. Mass	Description
1	5	LLHKPE_01533	471,41	81	81	3920000000	62	30	220	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101032	pyruvate  phosphate dikinase
4	12	JABIIP_02418	436,48	70	70	1290000000	55	22	171	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101161	pyruvate  phosphate dikinase
6	77	BDJIJG_00228	433,67	70	70	1140000000	46	13	159	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101584	pyruvate  phosphate dikinase
10	13	LLHKPE_02081	415,59	72	72	1940000000	44	22	124	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96774	Alpha-1 4 glucan phosphorylase
14	83	AIFLKA_03327	413,29	65	65	1550000000	55	34	114	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	130793	pyruvate:ferredoxin (flavodoxin) oxidoreductase
23	134	AIFLKA_00238	406,89	58	58	1430000000	32	8	99	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71790	acetate--CoA ligase
9	54	DHPIBI_00441	406,29	47	47	1460000000	35	5	128	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101346	pyruvate  phosphate dikinase
36	19	LLHKPE_03895	402,2	66	66	1920000000	43	28	89	Carbamidomethylation; Oxidation (M)	64773	isocitrate dehydrogenase (NADP(+))
8	80	AIFLKA_01493	397,36	61	61	1480000000	42	12	129	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95468	Alpha-1 4 glucan phosphorylase
103	1	LLHKPE_00788	395,64	76	76	983000000	25	17	61	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59404	alpha-D-glucose phosphate-specific phosphoglucomutase
11	62	AIFLKA_02199	393,57	69	69	1410000000	40	13	124	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70334	propionate--CoA ligase
31	3	LLHKPE_02050	390,45	76	76	818000000	28	7	91	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49584	F0F1 ATP synthase subunit beta
13	97	AIFLKA_01000	389,59	71	71	1530000000	35	9	116	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67581	phosphoenolpyruvate carboxykinase (GTP)
44	132	AIFLKA_02351	387,94	61	61	2260000000	31	16	83	Deamidation (NQ); Oxidation (M)	68470	Poly-beta-hydroxybutyrate polymerase
15	7	LLHKPE_03317	386,5	74	74	1380000000	30	15	114	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	57961	chaperonin GroEL
17	18	LLHKPE_00131	386,49	62	62	3450000000	34	15	114	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70224	propionate--CoA ligase
20	20	LLHKPE_01605	386,03	72	72	605000000	33	17	109	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63980	fumarate reductase (quinol) flavoprotein subunit
2	117	LLHKPE_02861	386,02	87	87	1690000000	33	12	178	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35690	type I glyceraldehyde-3-phosphate dehydrogenase
68	37	LLHKPE_00470	385	56	56	258000000	29	8	73	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79872	methylmalonyl-CoA mutase
5	241	AIFLKA_02757	382,45	76	76	78500000	28	1	171	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35663	type I glyceraldehyde-3-phosphate dehydrogenase
110	96	LLHKPE_00471	380,62	51	51	1780000000	26	22	60	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76346	methylmalonyl-CoA mutase
