Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 4	Area Sample 4	#Peptides	#Unique	#Spec Sample 4	PTM	Avg. Mass	Description
1	5	LLHKPE_01533	441,3	77	77	4080000000	56	28	217	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101032	pyruvate  phosphate dikinase
4	12	JABIIP_02418	403,77	66	66	782000000	52	19	139	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101161	pyruvate  phosphate dikinase
13	20	LLHKPE_01605	400,1	70	70	976000000	35	20	113	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63980	fumarate reductase (quinol) flavoprotein subunit
11	16	FCFFJI_02000	399,11	72	72	8500000000	37	28	114	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69960	propionate--CoA ligase
5	13	LLHKPE_02081	397,49	69	69	2310000000	44	22	127	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96774	Alpha-1 4 glucan phosphorylase
23	34	LLHKPE_00675	383,43	62	62	5520000000	31	20	94	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71668	acetate--CoA ligase
9	9	LLHKPE_01762	382,24	67	67	4560000000	30	17	116	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67598	phosphoenolpyruvate carboxykinase (GTP)
2	7	LLHKPE_03317	381,27	74	74	3110000000	33	14	164	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	57961	chaperonin GroEL
25	17	FCFFJI_01093	379	64	64	3910000000	33	33	93	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	48651	ABC transporter substrate-binding protein
36	23	LLHKPE_01236	377,11	71	71	742000000	40	22	83	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92799	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
28	53	LLHKPE_01051	376,7	52	52	1140000000	47	31	91	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	130372	pyruvate:ferredoxin (flavodoxin) oxidoreductase
43	70	LLHKPE_00746	374,64	54	54	1660000000	34	25	78	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	103148	Sulfatase
7	3	LLHKPE_02050	374,14	84	84	1320000000	32	8	118	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49584	F0F1 ATP synthase subunit beta
14	50	FCFFJI_02098	373,6	59	59	4700000000	33	28	105	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71280	acetate--CoA ligase
26	19	LLHKPE_03895	372,12	72	72	2090000000	43	28	92	Carbamidomethylation; Oxidation (M)	64773	isocitrate dehydrogenase (NADP(+))
8	88	FCFFJI_01079	371,13	60	60	9100000000	28	27	117	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47467	Branched-chain amino acid ABC transporter substrate-binding protein
53	1	LLHKPE_00788	369,08	80	80	1620000000	29	20	73	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59404	alpha-D-glucose phosphate-specific phosphoglucomutase
18	86	LLHKPE_02093	366,58	80	80	5530000000	27	18	100	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45193	phosphopyruvate hydratase
19	77	BDJIJG_00228	366,57	42	42	34600000	30	3	97	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101584	pyruvate  phosphate dikinase
47	119	LLHKPE_02230	365,95	66	66	700000000	34	13	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69255	molecular chaperone DnaK
10	18	LLHKPE_00131	364,99	64	64	4430000000	37	17	116	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70224	propionate--CoA ligase
87	46	FCFFJI_02692	362,38	63	63	725000000	34	30	58	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	77367	elongation factor G
33	21	LLHKPE_00710	361,2	63	63	1580000000	28	21	86	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63539	crotonyl-CoA carboxylase/reductase
70	41	LLHKPE_03554	361,11	55	55	741000000	30	15	65	Carbamidomethylation; Deamidation (NQ)	76932	elongation factor G
3	117	LLHKPE_02861	359,52	86	86	2270000000	30	11	155	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35690	type I glyceraldehyde-3-phosphate dehydrogenase
65	96	LLHKPE_00471	359,47	56	56	2620000000	26	21	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76346	methylmalonyl-CoA mutase
96	82	LLHKPE_02959	356,53	45	45	672000000	37	37	55	Carbamidomethylation; Deamidation (NQ)	139473	Pilus assembly protein PilC
56	37	LLHKPE_00470	354,84	59	59	597000000	28	8	70	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79872	methylmalonyl-CoA mutase
31	30	LLHKPE_02048	354	66	66	2030000000	30	16	89	Carbamidomethylation; Oxidation (M)	55856	F0F1 ATP synthase subunit alpha
21	11	FCFFJI_00405	353,71	70	70	2460000000	25	16	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	50617	F0F1 ATP synthase subunit beta
48	40	LLHKPE_03141	353,31	65	65	1760000000	26	17	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65445	succinate dehydrogenase flavoprotein subunit
61	84	LLHKPE_01945	352,45	79	79	1880000000	24	9	68	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39769	Leucine transporter subunit periplasmic-binding component of ABC superfamily
57	76	LLHKPE_02106	350,54	51	51	688000000	46	46	70	Deamidation (NQ)	143996	XrtA/PEP-CTERM system TPR-repeat protein PrsT
71	215	LLHKPE_02143	350,02	74	74	2890000000	23	13	64	Deamidation (NQ); Oxidation (M)	36357	C4-dicarboxylate-binding periplasmic protein
62	10	LLHKPE_00701	348,6	73	73	1690000000	30	20	68	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	62577	Putative acyl-CoA dehydrogenase
50	35	JABIIP_02384	347,13	65	65	685000000	31	12	76	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67903	phosphoenolpyruvate carboxykinase (GTP)
